SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-1-2015,Condo/Co-op,20 Arboretum,Irvine,CA,92620,498000,2,2.0,WD - Woodbury,1165,1000,2010,1816,427,300,Sold,,,http://www.redfin.com/CA/Irvine/20-Arboretum-92620/home/40103503,CRMLS,OC15022948,N,Y,33.6990705,-117.7464668
PAST SALE,August-10-2017,Single Family Residential,26 Sanctuary,Irvine,CA,92620,1650000,5,5.5,WD - Woodbury,3648,5842,2006,954,452,120,Sold,,,http://www.redfin.com/CA/Irvine/26-Sanctuary-92620/home/5959294,CRMLS,OC17116310,N,Y,33.6935437,-117.756739
PAST SALE,September-23-2011,Condo/Co-op,51 CONCIERTO,Irvine,CA,92620,559000,3,2.5,WD - Woodbury,1960,,2005,3102,285,300,Sold,,,http://www.redfin.com/CA/Irvine/51-Concierto-92620/home/7210862,CRMLS,S668027,N,Y,33.6978391,-117.7548592
PAST SALE,October-20-2014,Condo/Co-op,3100 Ladrillo Aisle,Irvine,CA,92606,442500,2,2.0,WP - Westpark,1050,1050,1998,1979,421,292,Sold,,,http://www.redfin.com/CA/Irvine/3100-Ladrillo-Aisle-92606/home/5703482,CRMLS,PW14201231,N,Y,33.6882668,-117.8113477
PAST SALE,,Condo/Co-op,45 Regal,Irvine,CA,92620,595000,2,3.0,,1614,,,,369,,,,,http://www.redfin.com/CA/Irvine/45-Regal-92620/home/7214634,,,N,Y,33.6972545,-117.7554746
PAST SALE,February-25-2009,Condo/Co-op,41 CONCIERTO,Irvine,CA,92620,580000,3,3.0,WD - Woodbury,2100,,2005,4042,276,271,Sold,,,http://www.redfin.com/CA/Irvine/41-Concierto-92620/home/7218981,CRMLS,S562379,N,Y,33.6981303,-117.7552679
PAST SALE,June-22-2009,Single Family Residential,18 SANTA CATALINA AISLE,Irvine,CA,92606,682000,4,2.5,WP - Westpark,1850,3040,1996,3925,369,237,Sold,,,http://www.redfin.com/CA/Irvine/18-Santa-Catalina-Aisle-92606/home/4627838,CRMLS,S565706,N,Y,33.6884714,-117.8077033
PAST SALE,August-30-2013,Condo/Co-op,182 Guinevere,Irvine,CA,92620,674000,3,2.5,WD - Woodbury,1750,,2006,2395,385,206,Sold,,,http://www.redfin.com/CA/Irvine/182-Guinevere-92620/home/12257884,CRMLS,OC13145480,N,Y,33.7000948,-117.7490965
PAST SALE,,Single Family Residential,32 Shepard,Irvine,CA,92620,1480000,5,5.5,,4606,6600,,,321,,,,,http://www.redfin.com/CA/Irvine/32-Shepard-92620/home/5958364,,,N,Y,33.7026954,-117.7525702
PAST SALE,,Single Family Residential,16 Antietam,Irvine,CA,92620,255500,3,2.5,,1350,3520,1985,,189,,,,,http://www.redfin.com/CA/Irvine/16-Antietam-92620/home/4783382,,,N,Y,33.7021821,-117.7725887
PAST SALE,June-20-2017,Condo/Co-op,88 Plum Feather,Irvine,CA,92620,840000,2,2.5,CV - Cypress Village,1704,,2015,1005,493,135,Sold,,,http://www.redfin.com/CA/Irvine/88-Plum-Feather-92618/home/112728042,CRMLS,NP17101642,N,Y,33.6829332,-117.7580739
